Song,Artist,Song Lenght (ms),Popularity,Release date,Song Id,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Speechiness,Tempo,Key,Loudness,Mode,Time Signature,Valence
Jangueo,Alex Rose,259600,70,2019-11-08,1bRpSCFv6P2OUhciByeRYR,0.253,0.861,0.678,0.678,0.678,0.0536,103.994,8,-4.157,0,4,0.723
La Difícil,Bad Bunny,163084,79,2020-02-29,6NfrH0ANGmgBXyxgV2PeXt,0.0861,0.685,0.848,0.848,0.848,0.0858,179.87,8,-4.561,0,4,0.761
Hola - Remix,Dalex,249520,75,2019-11-01,5stPVcRqb4qixbafP9e8lt,0.471,0.655,0.672,0.672,0.672,0.311,181.877,0,-5.98,0,4,0.343
Relación,Sech,184254,73,2020-05-21,3ZG8N7aWw2meb6UrI5ZmnZ,0.125,0.805,0.562,0.562,0.562,0.105,172.094,7,-3.117,0,4,0.767
Favorito,Camilo,209765,67,2020-04-17,0jT8Nl0shPS8115is0wD2Q,0.237,0.606,0.853,0.853,0.853,0.0545,178.043,9,-2.975,1,4,0.822
La Santa,Bad Bunny,206420,84,2020-02-29,69vlMrzHwATKzupwNcUPyK,0.0326,0.744,0.868,0.868,0.868,0.047,93.037,1,-4.524,1,4,0.586
RITMO (Bad Boys For Life),Black Eyed Peas,214854,68,2020-11-02,5NyS3oxTlos3Agl2YtZwrC,0.0295,0.732,0.716,0.716,0.716,0.0561,105.093,10,-6.968,0,4,0.666
Yo Ya No Vuelvo Contigo - En Vivo,Lenin Ramírez,240456,62,2020-05-01,4dKY6JFNvj2yWzENIL1P6s,0.784,0.644,0.35,0.35,0.35,0.0783,118.206,4,-5.924,0,1,0.541
Diosa,Myke Towers,214013,76,2020-01-24,3JHpk0DOTOzyh0777JFAky,0.398,0.801,0.745,0.745,0.745,0.063,104.965,6,-3.733,0,4,0.245
Tattoo,Rauw Alejandro,202886,69,2020-02-13,7na7Bk98usp84FaOJFPv3d,0.0217,0.755,0.617,0.617,0.617,0.182,193.896,9,-5.144,1,4,0.745
Elegí (feat. Dímelo Flow),Rauw Alejandro,197721,74,2020-03-26,50ZC4PM7hywH27RcCfViau,0.237,0.824,0.631,0.631,0.631,0.0809,171.965,0,-2.791,1,4,0.678
Blanco,J Balvin,145800,60,2019-11-15,2rc7BkzO8qepMFAxHtOrXc,0.0253,0.87,0.706,0.706,0.706,0.126,100.013,9,-5.395,0,4,0.593
A Tu Merced,Bad Bunny,175918,82,2020-02-29,4r9jkMEnArtWGH2rL2FZl0,0.169,0.86,0.791,0.791,0.791,0.0568,92.023,0,-4.784,1,4,0.887
La Curiosidad,Jay Wheeler,219048,84,2020-06-12,4HYDUMY0xSpeBr0AMY9cUz,0.269,0.845,0.677,0.677,0.677,0.136,90.013,11,-4.798,0,4,0.68
Amarillo,J Balvin,157733,70,2020-03-19,6zEgnpM0qYmHLDnh8WPejL,0.013,0.641,0.857,0.857,0.857,0.301,122.728,1,-5.725,0,5,0.961
"Ay, DiOs Mío!",KAROL G,189653,72,2020-07-10,7x4ASXYEKfQBCewcZhK776,0.512,0.718,0.712,0.712,0.712,0.174,180.034,11,-4.366,1,4,0.531
Caramelo,Ozuna,217546,69,2020-06-11,3gD4J3RUHy4OUuZ3qAiaiG,0.0531,0.728,0.806,0.806,0.806,0.0623,168.084,6,-3.766,1,4,0.698
Ride It,Regard,157605,83,2019-07-26,2tnVG71enUj33Ic2nFN6kZ,0.177,0.88,0.751,0.751,0.751,0.0874,117.948,7,-4.258,0,4,0.884
Agua (with J Balvin),Tainy,159665,70,2021-03-05,7CtbxAGq2P0jtYh6SH9DMR,0.167,0.778,0.651,0.651,0.651,0.266,100.094,9,-5.421,0,4,0.569
Sodio,Danna Paola,186946,65,2020-02-07,7jYZU1CIruZU3puB5tiYiW,0.0659,0.651,0.761,0.761,0.761,0.063,89.024,9,-4.805,0,4,0.433
Break My Heart,Dua Lipa,221820,80,2020-03-27,017PF4Q3l4DBUiWoXk4OWT,0.167,0.73,0.729,0.729,0.729,0.0884,113.011,4,-3.434,0,4,0.467
La Mitad,Camilo,177791,78,2020-04-17,63Zaf8Rci6eOUPqDQ4fUFx,0.73,0.724,0.443,0.443,0.443,0.0329,97.194,7,-3.743,1,4,0.763
Say So,Doja Cat,237893,81,2019-11-07,3Dv1eDb0MEgF93GpLXlucZ,0.264,0.787,0.673,0.673,0.673,0.159,110.962,11,-4.583,0,4,0.779
UN DIA (ONE DAY) (Feat. Tainy),J Balvin,232253,75,2020-07-24,0EhpEsp4L0oRGM0vmeaN5e,0.00536,0.571,0.693,0.693,0.693,0.0545,168.169,6,-8.234,0,4,0.393
Amor Tumbado,Natanael Cano,221553,79,2019-12-24,5aJ1M43pinROpwaPnO8KRj,0.332,0.535,0.714,0.714,0.714,0.0329,100.059,6,-5.753,0,3,0.458
Que Tire Pa Lante,Daddy Yankee,210520,70,2019-10-18,6RyaV7owmVU6fzEPE17sF1,0.0478,0.658,0.901,0.901,0.901,0.0357,93.979,7,-2.814,1,4,0.708
death bed (coffee for your head),Powfu,173333,84,2020-02-08,7eJMfftS33KTjuF7lTsMCx,0.731,0.726,0.431,0.431,0.431,0.135,144.026,8,-8.765,0,4,0.348
Watermelon Sugar,Harry Styles,174000,92,2019-12-13,6UelLqGlWMcVH1E5c4H7lY,0.122,0.548,0.816,0.816,0.816,0.0465,95.39,0,-4.209,1,4,0.557
Infeliz,Arcángel,221103,75,2019-12-20,4z6wo6PJG4Fve45OXK6D9m,0.366,0.713,0.798,0.798,0.798,0.219,176.073,1,-3.147,1,4,0.721
Caballero,Alejandro Fernández,228506,62,2019-10-03,5DL6BDuqhnQw8HfIvUYkm9,0.118,0.505,0.411,0.411,0.411,0.0325,101.69,11,-6.904,1,4,0.534
Aquí Abajo,Christian Nodal,143933,77,2020-09-11,16ONd70tvWAaLIc6hcLzaG,0.282,0.638,0.437,0.437,0.437,0.0332,147.88,4,-3.857,1,3,0.618
PORFA,Feid,232653,73,2020-04-23,4TOmcZvw0gHa7GiXRbcYAW,0.0903,0.795,0.542,0.542,0.542,0.193,167.823,6,-8.106,0,4,0.55
Muévelo,Nicky Jam,194892,70,2020-01-08,4VgYtXCVJ7IbWAZ5ryfvEQ,0.415,0.594,0.808,0.808,0.808,0.0489,188.09,7,-2.409,1,4,0.919
Mi Cuarto,Jerry Di,197586,73,2020-04-03,6fmQjRuo7XvRFCK2qex5hQ,0.819,0.854,0.525,0.525,0.525,0.214,97.054,1,-4.426,1,4,0.63
DÁKITI,Bad Bunny,205090,82,2020-11-27,4MzXwWMhyBbmu6hOcLVD49,0.401,0.731,0.573,0.573,0.573,0.0544,109.928,4,-10.059,0,4,0.145
Todo De Ti,Rauw Alejandro,199604,79,2021-12-10,3rdAz1fbUfZxYgaCviYhRo,0.302,0.78,0.719,0.719,0.719,0.0506,127.962,3,-3.613,0,4,0.336
Botella Tras Botella,Gera MX,197333,81,2021-04-23,2MnLkFqY9Rpg9s3Zv6ZJdK,0.656,0.727,0.546,0.546,0.546,0.0437,106.891,0,-4.572,1,4,0.69
Yonaguni,Bad Bunny,206710,86,2021-06-04,2JPLbjOn0wPCngEot2STUS,0.276,0.644,0.648,0.648,0.648,0.118,179.951,1,-4.601,1,4,0.44
BICHOTA,KAROL G,178693,75,2021-03-26,1WvrDdouh6C51In1SdATbq,0.204,0.864,0.658,0.658,0.658,0.154,163.922,1,-4.105,0,4,0.865
Fiel,Los Legendarios,261665,74,2021-02-04,7Bk0uXKk1uPT0XuQbpFzvs,0.407,0.849,0.701,0.701,0.701,0.06,98.005,6,-4.407,0,4,0.505
Bandido,Myke Towers,232853,76,2020-12-10,1xK1Gg9SxG8fy2Ya373oqb,0.122,0.713,0.617,0.617,0.617,0.0887,168.021,8,-4.637,1,4,0.682
LA NOCHE DE ANOCHE,Bad Bunny,203200,83,2020-11-27,2XIc1pqjXV3Cr2BQUGNBck,0.0303,0.856,0.618,0.618,0.618,0.286,81.993,7,-4.892,1,4,0.391
telepatía,Kali Uchis,160191,86,2020-12-04,6tDDoYIxWvMLTdKpjFkc1B,0.112,0.653,0.524,0.524,0.524,0.0502,83.97,11,-9.016,0,4,0.553
Pareja Del Año,Sebastian Yatra,195053,77,2021-04-16,2rCbl9naJYhaxjLsfx88uM,0.163,0.715,0.622,0.622,0.622,0.046,80.015,4,-5.102,0,4,0.808
Qué Más Pues?,J Balvin,217360,78,2021-09-10,6D2TCm4nf5nxAcdGJ7w3QP,0.0272,0.903,0.817,0.817,0.817,0.095,102.014,8,-3.972,1,4,0.732
Reloj,Rauw Alejandro,231594,74,2020-11-13,4loQgPwJHocL3dFwLfjb1J,0.176,0.823,0.537,0.537,0.537,0.211,175.965,8,-2.627,1,4,0.608
El Tóxico,Grupo Firme,179745,81,2020-10-27,7E9GeFGfjXw9LAI4ay6rsw,0.407,0.626,0.503,0.503,0.503,0.141,72.985,10,-5.087,1,4,0.821
Ya Acabo,Marca MP,189408,76,2021-02-19,4H3t8C59tXjKf1R2iKtc5M,0.696,0.673,0.326,0.326,0.326,0.0348,133.309,0,-7.481,1,4,0.672
A La Antigüita,Calibre 50,156266,79,2021-02-05,798ahLNEcoFER7Vywg1FMT,0.382,0.651,0.726,0.726,0.726,0.0539,179.99,8,-4.144,1,3,0.963
Pepas,Farruko,287120,75,2021-10-01,2B4GHvToeLTOBB4QLzW3Ni,0.00776,0.762,0.766,0.766,0.766,0.0343,130.001,7,-3.955,1,4,0.442
AM,Nio Garcia,182496,70,2021-01-28,2dNhNlpZAtV4lwAFW45LIv,0.399,0.83,0.517,0.517,0.517,0.333,171.959,6,-6.416,0,4,0.616
Yo Ya No Vuelvo Contigo - En Vivo,Lenin Ramírez,240456,77,2019-11-01,1s59X35jDULAyOGmBuTAnd,0.784,0.643,0.35,0.35,0.35,0.0783,118.199,4,-5.924,0,1,0.541
AM Remix,Nio Garcia,261334,76,2021-06-24,05bfbizlM5AX6Mf1RRyMho,0.114,0.743,0.655,0.655,0.655,0.159,172.031,6,-5.015,0,4,0.785
Cabrón y Vago - En Vivo,El Fantasma,142064,76,2020-07-31,4nbWX2HzrOEnX4xxvYRCyU,0.697,0.547,0.638,0.638,0.638,0.124,176.277,8,-2.99,1,3,0.876
TE MUDASTE,Bad Bunny,130013,82,2020-11-27,5RubKOuDoPn5Kj5TLVxSxY,0.234,0.811,0.637,0.637,0.637,0.0591,92.025,10,-4.835,0,4,0.471
Save Your Tears,The Weeknd,215626,90,2020-03-20,5QO79kh1waicV47BqGRL3g,0.0212,0.68,0.826,0.826,0.826,0.0309,118.051,0,-5.487,1,4,0.644
Baila Conmigo (with Rauw Alejandro),Selena Gomez,186087,74,2021-03-12,079Ey5uxL04AKPQgVQwx5h,0.0215,0.823,0.544,0.544,0.544,0.0715,149.903,5,-7.132,1,4,0.664
EL MAKINON,KAROL G,209160,78,2021-03-26,2FSGUA0gFgGeQdprjtGM2M,0.256,0.635,0.706,0.706,0.706,0.125,88.863,5,-3.224,0,4,0.443
Hecha Pa' Mi,Boza,186133,78,2020-07-31,3VvA1wSxukMLsvXoXtlwWx,0.362,0.725,0.756,0.756,0.756,0.0572,100.07,4,-5.013,1,4,0.828
Algo Mágico,Rauw Alejandro,261603,70,2020-11-13,7D93pJcwymzaZx8WgBo2zG,0.757,0.699,0.612,0.612,0.612,0.0667,100.005,11,-4.355,1,4,0.591
Volví,Aventura,230125,82,2021-08-03,2vmfvSoZBFAt9hhRoEByLi,0.422,0.725,0.86,0.86,0.86,0.182,175.896,1,-3.726,1,4,0.791
2/Catorce,Rauw Alejandro,205714,73,2021-12-10,78QcVmzxS0wIwuC2rpAauI,0.709,0.768,0.56,0.56,0.56,0.0859,112.084,3,-3.497,1,3,0.372
La Casita,Banda MS de Sergio Lizárraga,217600,75,2020-08-14,0vtYnEw1eJwW26BrBnOAYJ,0.277,0.832,0.525,0.525,0.525,0.0412,112.479,10,-6.806,1,3,0.967
Dime Cómo Quieres,Christian Nodal,171360,73,2020-11-13,4jcxBTrNvyqMJdMDyyjdYV,0.322,0.839,0.667,0.667,0.667,0.031,124.889,11,-3.961,0,4,0.878
Relación - Remix,Sech,247308,75,2020-09-04,35UUpTmrcFXNIVIN26ujXl,0.0337,0.793,0.771,0.771,0.771,0.0959,171.943,5,-3.417,1,4,0.835
Sobrio,Maluma,201180,82,2021-07-08,4HzqWEdAbzcVFDv0pvxV4w,0.138,0.762,0.77,0.77,0.77,0.223,177.998,5,-2.758,1,4,0.631
Pa' Olvidarme De Ella,Piso 21,227233,74,2021-03-18,3lR4O0vtkhCAvVEUEWUL0S,0.259,0.728,0.542,0.542,0.542,0.0514,90.016,0,-5.195,1,3,0.637
drivers license,Olivia Rodrigo,242013,89,2021-05-21,5wANPM4fQCJwkGd4rN57mH,0.768,0.561,0.431,0.431,0.431,0.0578,143.875,10,-8.81,1,4,0.137
Mi Niña,Wisin,213313,70,2020-09-23,2bgcUk2A3jjKbCJ7KPquTi,0.31,0.823,0.821,0.821,0.821,0.166,99.999,8,-3.402,0,4,0.791
Si Te Pudiera Mentir,Calibre 50,255640,81,2019-08-16,3p6eieHX6oEOzJStPtEsLu,0.348,0.764,0.585,0.585,0.585,0.0305,90.013,2,-7.796,1,4,0.89
Levitating (feat. DaBaby),Dua Lipa,203064,87,2020-03-27,5nujrmhLynf4yMoMtj8AQF,0.00883,0.702,0.825,0.825,0.825,0.0601,102.977,6,-3.787,0,4,0.915
Debo Entender,Santa Fe Klan,238419,76,2019-12-12,55mzJ0LftLnef8sxAjrMkU,0.741,0.678,0.457,0.457,0.457,0.177,72.156,0,-6.854,1,4,0.563
Chica Ideal,Sebastian Yatra,183240,72,2020-10-16,21N4Buj4xsyLb218lYle61,0.0847,0.574,0.891,0.891,0.891,0.157,100.978,0,-3.665,0,4,0.707
La Nota,Manuel Turizo,216107,70,2021-04-09,5VzNsUnLmYcRfRfxpQsusa,0.18,0.736,0.632,0.632,0.632,0.0648,92.03,11,-4.939,0,4,0.503
Mónaco,LAGOS,192313,82,2021-05-28,3HgvO4B5LLmdPOT2d8cSZd,0.054,0.699,0.654,0.654,0.654,0.0383,100.037,11,-6.264,1,4,0.319
Se Te Nota (with Guaynaa),Lele Pons,155825,74,2020-09-02,11EnQRgRMJwMAesfkB5pnu,0.0907,0.905,0.686,0.686,0.686,0.0664,103.013,0,-3.152,1,4,0.963
UN DIA (ONE DAY),J Balvin,232146,69,2021-09-10,66x45Yh9x397PWpxMX0ZDT,0.00638,0.58,0.695,0.695,0.695,0.0671,168.124,6,-8.244,0,4,0.402
HASTA ABAJO,KEVIN ROLDAN,229826,74,2019-10-04,4PEfJZpVjdclfzZ9XO8uDw,0.289,0.714,0.671,0.671,0.671,0.362,169.732,5,-5.119,1,4,0.641
Me Porto Bonito,Bad Bunny,178567,92,2022-05-06,6Sq7ltF9Qa7SNFBsV5Cogx,0.0901,0.911,0.712,0.712,0.712,0.0817,92.005,1,-5.105,0,4,0.425
Tití Me Preguntó,Bad Bunny,243716,90,2022-05-06,1IHWl5LamUGEuP4ozKQSXZ,0.0993,0.65,0.715,0.715,0.715,0.253,106.672,5,-5.198,0,4,0.187
Ojitos Lindos,Bad Bunny,258298,91,2022-05-06,3k3NWokhRRkEPhCzPmV8TW,0.08,0.647,0.686,0.686,0.686,0.0413,79.928,3,-5.745,0,4,0.268
Efecto,Bad Bunny,213061,90,2022-05-06,5Eax0qFko2dh7Rl2lYs3bx,0.141,0.801,0.475,0.475,0.475,0.0516,98.047,7,-8.797,0,4,0.234
"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap,198937,93,2022-07-06,2tTmW7RDtMQtBk7m2rYeSw,0.0125,0.621,0.782,0.782,0.782,0.044,128.033,2,-5.548,1,4,0.55
PROVENZA,KAROL G,210200,83,2022-04-22,7dSZ6zGTQx66c2GF91xCrb,0.656,0.87,0.516,0.516,0.516,0.0541,111.005,1,-8.006,1,4,0.53
Moscow Mule,Bad Bunny,245939,88,2022-05-06,6Xom58OOXk2SoU711L2IXO,0.294,0.804,0.674,0.674,0.674,0.0333,99.968,5,-5.453,0,4,0.292
Party,Bad Bunny,227628,84,2022-05-06,4tYFy8ALRjIZvnvSLw5lxN,0.0151,0.829,0.799,0.799,0.799,0.0897,97.013,9,-5.389,1,4,0.471
Chale,Eden Muñoz,170744,81,2022-02-18,74WROFXsox6wkeUrEK2DS6,0.395,0.551,0.436,0.436,0.436,0.0428,188.651,8,-8.029,1,3,0.862
Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Tainy,207301,82,2021-10-05,4gzsuuZypVbxs0Af1LSZyB,0.0889,0.639,0.703,0.703,0.703,0.0794,169.888,4,-6.33,0,4,0.138
Desesperados,Rauw Alejandro,224996,84,2021-12-10,6mmPpaltUZK7xjNlBPQQ0p,0.356,0.869,0.694,0.694,0.694,0.0783,90.02,1,-3.35,0,4,0.511
As It Was,Harry Styles,167303,93,2022-05-20,4Dvkj6JhhA12EX05fT7y2e,0.342,0.52,0.731,0.731,0.731,0.0557,173.93,6,-5.338,0,4,0.662
Neverita,Bad Bunny,173119,87,2022-05-06,31i56LZnwE6uSu3exoHjtB,0.0706,0.876,0.498,0.498,0.498,0.0478,122.016,10,-7.511,1,4,0.428
Ya No Somos Ni Seremos,Christian Nodal,185722,83,2022-02-18,0UXlu64mDLvfzR8IXMz06J,0.437,0.588,0.452,0.452,0.452,0.0268,139.953,7,-4.75,1,4,0.734
JGL,La Adictiva,158093,84,2022-02-18,5kpxVMDvYGRmNqawPqDTYR,0.55,0.702,0.586,0.586,0.586,0.118,112.852,8,-5.317,1,4,0.965
Una Noche en Medellín,Cris Mj,153750,87,2022-01-21,1O2pcBJGej0pmH2Y9XZMs6,0.0924,0.87,0.548,0.548,0.548,0.077,96.018,10,-5.253,0,4,0.832
Los Botones Azules,Junior H,135611,83,2022-02-11,3ZGkdrigbWXLgHungXfZkt,0.0877,0.784,0.737,0.737,0.737,0.0758,97.5,5,-2.174,1,3,0.623
MAMIII,Becky G,226093,82,2022-05-13,7FlQk2gJ6TBrHHiidvdR2O,0.0845,0.836,0.703,0.703,0.703,0.0657,94.048,4,-3.554,0,4,0.902
La Bachata,Manuel Turizo,162637,89,2022-05-26,5ww2BF9slyYgNOk37BlC4u,0.583,0.835,0.679,0.679,0.679,0.0364,124.98,7,-5.329,0,4,0.85
Fuera del mercado,Danny Ocean,159849,83,2022-02-17,1UdzJEpgJxtuXAlCOvD4S0,0.32,0.453,0.673,0.673,0.673,0.144,92.06,8,-5.649,1,4,0.266
Te Felicito,Shakira,172235,85,2022-04-21,2rurDawMfoKP4uHyb2kJBt,0.234,0.695,0.636,0.636,0.636,0.317,174.14,5,-4.654,1,4,0.575
Tarot,Bad Bunny,237894,85,2022-05-06,41oY4WCTj5kccfesTVFnvN,0.0225,0.795,0.684,0.684,0.684,0.0419,114.011,11,-3.971,0,4,0.419
San Lucas,Kevin Kaarl,247196,80,2019-11-07,75UMtPC77vqKRwfSuYuNPO,0.86,0.577,0.363,0.363,0.363,0.0263,91.511,7,-12.378,1,4,0.265
Mon Amour - Remix,zzoilo,179940,82,2021-08-18,5TMLavqGRKNxgzMBrVpC9R,0.122,0.748,0.761,0.761,0.761,0.102,116.041,2,-6.621,1,4,0.362
Fuga Pa Cali 2,Grupo Los de la O,196864,80,2021-11-12,5IdyvWCaUa7AgTxMsFj0wB,0.366,0.743,0.89,0.89,0.89,0.0837,107.635,7,-5.451,0,4,0.809
La Corriente,Bad Bunny,198367,83,2022-05-06,1797zYiX4cKosMH836X9Gt,0.229,0.663,0.786,0.786,0.786,0.195,196.12,11,-3.51,0,4,0.579
Tacones Rojos,Sebastian Yatra,189333,80,2022-01-28,6ylDpki1VpIsc525KC1ojF,0.062,0.746,0.844,0.844,0.844,0.0359,123.014,11,-3.499,0,4,0.934
Jordan,Ryan Castro,176142,79,2022-05-24,6y8z28epOv5FlaxDv1Lo5B,0.0575,0.796,0.68,0.68,0.68,0.37,179.923,10,-5.555,0,4,0.71
Andrea,Bad Bunny,339611,81,2022-05-06,44XjoNvtwevktFKjvVe1vH,0.762,0.797,0.616,0.616,0.616,0.375,103.071,1,-10.229,0,4,0.451
Como Lo Hice Yo,Matisse,177062,72,2022-05-27,6YNTL320OEMAg4ORqGYt1v,0.38,0.69,0.662,0.662,0.662,0.043,143.096,2,-4.537,1,3,0.488
Después de la Playa,Bad Bunny,230400,82,2022-05-06,1dm6z1fWB0cErMszU25dy2,0.356,0.564,0.903,0.903,0.903,0.307,78.293,5,-3.221,1,4,0.607
En El Radio Un Cochinero,Victor Cibrian,223431,76,2022-05-13,2NWaWZZLFMcr5P4uI2KvWy,0.466,0.696,0.623,0.623,0.623,0.0438,154.028,6,-8.738,0,3,0.965
Ya Supérame (En Vivo),Grupo Firme,189050,79,2021-08-13,6HIIuuUIEzH1meVdGbMXyf,0.463,0.436,0.4,0.4,0.4,0.11,75.576,0,-6.521,1,3,0.568
Un Coco,Bad Bunny,196412,84,2022-05-06,6VrQTLzzuyGIYjUDe4kAZk,0.207,0.839,0.69,0.69,0.69,0.0615,151.991,11,-4.464,1,4,0.744
El Rescate,Grupo Marca Registrada,160897,80,2022-07-22,4w273WCBXwM4P3jTX5HkB2,0.283,0.794,0.594,0.594,0.594,0.139,99.238,7,-8.698,0,3,0.637
No Se Va - EN VIVO,Grupo Frontera,194019,88,2022-04-28,23Lyy7ZXRvzfgH4JtDkKrX,0.121,0.594,0.527,0.527,0.527,0.0335,172.712,0,-9.335,1,4,0.692
Un Ratito,Bad Bunny,176936,82,2022-05-06,5CzixCxDkRXX9mScCmah8O,0.305,0.787,0.546,0.546,0.546,0.0532,93.05,0,-7.094,0,4,0.222
Si Fuera Fácil,Grupo Marca Registrada,170496,77,2022-05-27,7Jph6HJbfURt4Fea19IED3,0.446,0.794,0.677,0.677,0.677,0.0713,101.467,10,-9.969,1,3,0.611
Dos Mil 16,Bad Bunny,208615,81,2022-05-06,4d4ZXH4dr5bYfgErHiZCX2,0.123,0.817,0.67,0.67,0.67,0.0506,130.058,1,-6.534,1,3,0.495
Siempre Pendientes,Peso Pluma,186828,85,2022-08-15,3gfSH9aYZbyGjdmbeoWliw,0.331,0.774,0.748,0.748,0.748,0.0352,135.929,0,-7.086,1,3,0.714
Se Fue La Pantera (En Vivo),Grupo Firme,202021,77,2021-08-12,6Yard5LK4aXEn0kBKtHSob,0.118,0.557,0.66,0.66,0.66,0.0768,128.179,3,-4.467,1,4,0.907
